no,District,place,
1,Kannur,Aalakkod,
2,Kannur,Anjarakkandi,
3,Kannur,Anthoor,
4,Kannur,Aralam,
5,Kannur,Ayyankunnu,
6,Kannur,Azeekkode,
7,Kannur,Chembilode,
8,Kannur,Chengalayi,
9,Kannur,Cherukunnu,
10,Kannur,Cherupuzha,
11,Kannur,Cheruthazham,
12,Kannur,Chirakkal,
13,Kannur,Chittaripparamba,
14,Kannur,Chokli,
15,Kannur,Contonment Board,
16,Kannur,Darmadam,
17,Kannur,Eramam Kuttur,
18,Kannur,Eruvessi,
19,Kannur,Ezhom,
20,Kannur,Irikkoor,
21,Kannur,Iritty (M),
22,Kannur,Kadambur,
23,Kannur,Kadannappally Panappuzha,
24,Kannur,Kannapuram,
25,Kannur,Kannur (C),
26,Kannur,Karivellur-Peralam,
27,Kannur,Kathiroor,
28,Kannur,Keezhallur,
29,Kannur,Kolacheri,
30,Kannur,Kolayad,
31,Kannur,Koodali,
32,Kannur,Koothuparamba,
33,Kannur,Kottayam-Malabar,
34,Kannur,Kottiyoor,
35,Kannur,Kunnothuparamba,
36,Kannur,Kurumathoor,
37,Kannur,Kuttiyattoor,
38,Kannur,Madai,
39,Kannur,Malappattam,
40,Kannur,Maloor,
41,Kannur,Mangattidam,
42,Kannur,Mattannur,
43,Kannur,Mayyil,
44,Kannur,Mokeri,
45,Kannur,Munderi,
46,Kannur,Muzhakkunnu,
47,Kannur,Muzhuppilangad,
48,Kannur,Naduvil,
49,Kannur,Padiyoor,
50,Kannur,Panniannur,
51,Kannur,Panoor,
52,Kannur,Pappinissery,
53,Kannur,Pariyaram,
54,Kannur,Pattuvam,
55,Kannur,Payam,
56,Kannur,Payyannur (M),
57,Kannur,Peralaserry,
58,Kannur,Peravoor,
59,Kannur,Peringome-Vyakkara,
60,Kannur,Pinarayi,
61,Kannur,Ramanthali,
62,Kannur,Sreekandapuram (M),
63,Kannur,Thalassery (M),
64,Kannur,Thaliparamba (M),
65,Kannur,Thillankeri,
66,Kannur,Trippangottur,
67,Kannur,Udayagiri,
68,Kannur,Ulikkal,
69,Kannur,Vengad,
70,Kollam,Thenmala,
71,Kollam,Aryankavu,
72,Kollam,Kollam (C),
73,Kollam,Thevalakkara,
74,Kollam,Panmana,
75,Kollam,Sasthamcotta,
76,Kollam,Mynagappally,
77,Kollam,West Kallada,
,,,
78,Kollam,Sooranad South,
79,Kollam,Clappana,
80,Kollam,Neendakara,
81,Kollam,Chavara,
82,Kollam,Nedumbana,
83,Kollam,Kulasekharam,
84,Kollam,Paravur (M),
85,Kollam,Veliyam,
86,Kollam,Anchal,
87,Kollam,Alayamon,
88,Kollam,Yeroor,
89,Kollam,Edamulakkal,
90,Kollam,Ilamad,
91,Kollam,Velinallur,
92,Kollam,Melila,
93,Kollam,Vettikkavala,
94,Kollam,Thodiyoor,
95,Kollam,Sooranad North,
96,Kollam,Alappad,
97,Kollam,Vilakkudi,
98,Kollam,Mayyanad,
99,Kollam,Karipra,
100,Kollam,Ummannoor,
101,Kollam,Chithara,
102,Kollam,Kummil,
103,Kollam,Kadakkal,
104,Kollam,Karavaloor,
105,Kollam,Panayam,
106,Kollam,Kottarakkara (M),
107,Kollam,Chadayamangalam,
108,Kollam,Chirakkara,
109,Kollam,Pooyappally,
110,Kollam,Thrikkaruva,
111,Kollam,Punaloor,
112,Kollam,Poothakkulam,
113,Kollam,Kulathooppuzha,
114,Kollam,Nilamel,
115,Kollam,Neduvathur,
116,Kollam,Ittiva,
117,Kollam,Kottankara,
118,Kollam,Karunagappally (M),
119,Kollam,Ezhukone,
120,Kollam,Thalavoor,
121,Kollam,Pattazhi,
122,Kollam,Poruvazhi,
,,,
123,Kollam,Kulakkada,
124,Alappuzha,Kayamkulam (M),
125,Alappuzha,Ambalappuzha North,
126,Alappuzha,Arattupuzha,
127,Alappuzha,Aroor,
128,Alappuzha,Arukutty,
129,Alappuzha,Bharanikkavu,
130,Alappuzha,Chengannur (M),
131,Alappuzha,Chennampallippuram,
132,Alappuzha,Cherthala (M),
133,Alappuzha,Cherthala South,
134,Alappuzha,Ezhupunna,
135,Alappuzha,Kadakkarappally,
136,Alappuzha,Kanjikkuzhy,
137,Alappuzha,Kavalam,
138,Alappuzha,Kodamthuruthu,
139,Alappuzha,Krishnapuram,
140,Alappuzha,Kuthiyathodu,
141,Alappuzha,Mannanchery,
142,Alappuzha,Mararikkulam North,
143,Alappuzha,Mararikkulam South,
144,Alappuzha,Muhamma,
145,Alappuzha,Nilamperoor,
146,Alappuzha,Nooranad,
147,Alappuzha,Palamel,
148,Alappuzha,Pallippad,
149,Alappuzha,Panavally,
150,Alappuzha,Pattanakkad,
151,Alappuzha,Perumpalam,
152,Alappuzha,Puliyoor,
153,Alappuzha,Punnapra North,
154,Alappuzha,Purakkad,
