pincode,place,state,somethingelse,lat,lng
676553,Kadampuzha,Malappuram,Tirur,10.9468,76.0201
676553,Kallarmangalam,Malappuram,Tirur,10.9479,76.0252
676553,Pathayakallu,Malappuram,Tirur,10.9468,76.0201
676561,Chennara,Malappuram,Tirur,10.8395,75.9258
676561,Muttanur,Malappuram,Tirur,11.1321,76.1558
676553,Marakkara,Malappuram,Tirur,10.9457,76.0151
676561,MangalamMLP,Malappuram,Tirur,10.8496,75.9159
676562,Kuttayi,Malappuram,Tirur,10.8491,75.9014
676553,Karekkad,Malappuram,Tirur,10.9468,76.0201
676562,Padinharekkara,Malappuram,Tirur,10.8491,75.9014
679321,Angadipuram,Malappuram,Perinthalmanna,10.9764,76.2011
679321,Pariyapuram,Malappuram,Perinthalmanna,10.9416,76.2758
679321,Puzhakkattiri,Malappuram,Perintalmanna,10.9787,76.1538
676552,Edayur,Malappuram,Tirur,10.9349,76.112
676561,Kavancheri,Malappuram,Tirur,11.2101,75.7858
679321,Aripra,Malappuram,Perinthalmanna,10.9951,76.1706
679321,Ramapuram,Malappuram,Perinthalmanna,10.9993,76.1385
679321,Kadungapurm,Malappuram,Perinthalmanna,10.9777,76.1887
679321,Puthanangadi,Malappuram,Perinthalmanna,10.9777,76.1887
679321,Cherakkaparamba,Malappuram,Perinthalmanna,10.9754,76.1924
679321,Tirurkad,Malappuram,Perinthalmanna,10.9777,76.1887
679322,Perintalmanna,Malappuram,Perinthalmanna,10.9772,76.2254
679322,Kunnappally,Malappuram,Perintalmanna,10.974,76.2487
679322,Amminikkad,Malappuram,Perinthalmanna,10.9708,76.2719
679322,Pathaikara,Malappuram,Perintalmanna,10.974,76.2487
679323,Chelakkad,Malappuram,Perinthalmanna,10.916,76.2088
679322,Ponniyakurissi,Malappuram,Perinthalmanna,10.974,76.2487
679323,Chemmalasseri,Malappuram,Perinthalmanna,10.916,76.2088
679324,Vadakkangara,Malappuram,Perintalmanna,11.0187,76.1513
679323,Valapuram,Malappuram,Perinthalmanna,10.916,76.2088
679323,Pulamanthole,Malappuram,Perintalmanna,10.916,76.2088
679324,Koottil,Malappuram,Perinthalmanna,11.0312,76.1614
679324,Kadannamanna,Malappuram,Perinthalmanna,11.0372,76.1604
679324,Vallikkapatta,Malappuram,Perinthalmanna,11.0312,76.1614
679324,Mankadapallippuram,Malappuram,Perinthalmanna,11.0312,76.161
679325,Kizhattur,Malappuram,Perintalmanna,11.0531,76.2518
679324,Vellila,Malappuram,Perinthalmanna,11.055,76.1484
